English,Urdu_True,Urdu_Pred
i hate living alone,مجھے تنہا رہنے سے نفرت ہے۔,مجھے اکیلے رہنے سے نفرت ہے۔
dont you know how,کیا آپ نہیں جانتے کہ کیسے,تم نہیں جانتے کیسے
you cant prove that,آپ اسے ثابت نہیں کر سکتے,آپ اسے ثابت نہیں کر سکتے
zain returned home,زین گھر لوٹ آیا,زین گھر واپس آیا
its immoral,اس کی غیر اخلاقی,یہ غیر اخلاقی ہے
do you know,تمھيں معلوم ہے,تمھيں معلوم ہے
its your turn,یہ آپ کی باری ہے,یہ آپ کی باری ہے
stop messing around,ارد گرد گڑبڑ کرنا بند کرو,ارد گرد جھاڑو بند کرو
they looked around,انہوں نے ارد گرد دیکھا,انہوں نے ارد گرد دیکھا
dont be disappointed,مایوس نہ ہو,مایوس نہ ہوں
how did zain die,زین کی موت کیسے ہوئی,زین کیسے مر گیا
what was that,وہ کیا تھا,وہ کیا تھا
i am learning french,میں فرانسیسی سیکھ رہا ہوں,میں فرانسیسی سیکھ رہا ہوں۔
his house was on fire,اس کے گھر میں آگ لگ گئی تھی,اس کے گھر میں آگ لگ گئی تھی۔
i had to arrest tom,مجھے ٹام کو گرفتار کرنا پڑا,مجھے ٹام کو گرفتار کرنا پڑا
i forgot the book,میں کتاب بھول گیا۔,میں کتاب بھول گیا
do your homework,اپنا ہومورک کرو,اپنا ہوم ورک کریں
zain likes to sing,زین کو گانا پسند ہے,زین کو گانا پسند ہے۔
i wasnt hungry,میں بھوکا نہیں تھا۔,مجھے بھوک نہیں تھی
god bless you,اللہ اپ پر رحمت کرے,اللہ اپ پر رحمت کرے
the street is empty,گلی خالی ہے,گلی خالی ہے
you are too trusting,آپ بہت بھروسہ کر رہے ہیں,آپ بہت بھروسہ کر رہے ہیں
i hid it somewhere,میں نے اسے کہیں چھپا رکھا تھا۔,میں نے اسے کہیں چھپایا
we are boiling water,ہم ابلتے ہوئے پانی ہیں,ہم پانی ابل رہے ہیں
zain is lean and tall,زین دبلا اور لمبا ہے۔,زین پتلا اور لمبا ہے۔
i am going home,me school Sarah,میں گھر جا رہا ہوں
she kissed my cheek,اس نے میرے گال کو چوما,اس نے میری cheek چوما
the sirens went off,سائرن بند ہو گیا,سرنیاں بج گئی
thats right,یہ ٹھیک ہے,ٹھیک ہے
i like to catch flies,مجھے مکھیاں پکڑنا پسند ہے۔,میں مکھیوں کو پکڑنا پسند کرتا ہوں
zain is seeking a job,زین نوکری کی تلاش میں ہے۔,زین نوکری کی تلاش میں ہے
zain is an atheist,زین ایک ملحد ہے,زین ایک ملحد ہے۔
i am a country boy now,میں اب ایک ملک کا لڑکا ہوں۔,میں اب ایک ملک کا لڑکا ہوں۔
i was reading a book,میں ایک کتاب پڑھ رہا تھا۔,میں ایک کتاب پڑھ رہا تھا
the party was a flop,پارٹی فلاپ رہی,پارٹی ایک فلپ تھی
weve done nothing,ہم نے کچھ نہیں کیا,ہم نے کچھ نہیں کیا
its just a game,یہ صرف ایک کھیل ہے,یہ صرف ایک کھیل ہے
yesterday was sunday,کل اتوار تھا,کل اتوار تھا
he could not swim,وہ تیر نہیں سکتا تھا,وہ تیر نہیں سکتا تھا
that explains it,اس سے اس کی وضاحت ہوتی ہے,اس سے اس کی وضاحت ملتی ہے
this is plagiarism,یہ چوری ہے,یہ plagiarism ہے
you will need a key,آپ کو ایک کلید کی ضرورت ہوگی,آپ کو ایک چابی کی ضرورت ہوگی
this is holy ground,یہ مقدس زمین ہے,یہ مقدس زمین ہے
he speaks chinese,وہ چینی بولتا ہے۔,وہ چینی بولتا ہے
did zain cry,زین نے رو دیا,زین نے رونا
zain is my neighbor,زین میرا پڑوسی ہے۔,زین میرا پڑوسی ہے۔
do i have to go now,کیا مجھے اب جانا ہے,کیا مجھے ابھی جانا ہے؟
i am always careful,میں ہمیشہ محتاط رہتا ہوں۔,میں ہمیشہ محتاط رہتا ہوں۔
what is lacking here,یہاں کیا کمی ہے,یہاں کیا کمی ہے
thats a book,یہ ایک کتاب ہے,یہ ایک کتاب ہے
i wish i could be in boston now,کاش میں اب بوسٹن میں ہوتا,کاش میں اب بوسٹن ہو سکا
i live in a big city,میں ایک بڑے شہر میں رہتا ہوں۔,میں ایک بڑے شہر میں رہتا ہوں۔
french is spoken here,یہاں فرانسیسی بولی جاتی ہے۔,فرانسیسی یہاں بولی جاتی ہے۔
can you repeat that,کیا آپ اسے دوہرا سکتے ہیں,کیا آپ اسے دہرا سکتے ہیں؟
youve won,تم جیت گئے,آپ جیت گئے
please open this box,براہ کرم اس باکس کو کھولیں۔,براہ کرم یہ باکس کھولیں
zain gave it to me,زین نے مجھے دے دیا,زین نے مجھے دے دیا
i let the cat in,میں نے بلی کو اندر جانے دیا۔,میں نے بلی کو اندر آنے دیا۔
i still dont see it,میں اب بھی اسے نہیں دیکھ رہا ہوں۔,میں نے اب بھی اسے نہیں دیکھا
how can i become rich,میں امیر کیسے بن سکتا ہوں,میں امیر کیسے ہو سکتا ہوں
zain said goodnight,زین نے کہا شب بخیر,زین نے گڈ نائٹ کہا
lets get divorced,چلو طلاق ہو جائے,طلاق لےنے دیتا ہے
that isnt fair,یہ منصفانہ نہیں ہے,یہ درست نہیں ہے
wait for us,ہمارا انتظار کرو,ہمارا انتظار کریں
zain bit me,زین نے مجھے کاٹا,زین نے مجھے کاٹا
do you have any specials,کیا آپ کے پاس کوئی خاص بات ہے,کیا آپ کے پاس کوئی خاص ہے؟
i need the ladder,مجھے سیڑھی کی ضرورت ہے,مجھے سیڑھی کی ضرورت ہے۔
he is younger than me,وہ مجھ سے چھوٹا ہے,وہ مجھ سے چھوٹا ہے
its noisy next door,اس کے اگلے دروازے پر شور,اس کے next door noisy
do you have a family,کیا آپ کا کوئی خاندان ہے,کیا آپ کا خاندان ہے
zain is a thief,زین چور ہے,زین ایک چور ہے
i am teaching basque,میں باسکی پڑھا رہا ہوں۔,میں باسکی پڑھا رہا ہوں۔
i eat dinner,میں رات کا کھانا کھاتا ہوں۔,میں رات کا کھانا کھاتا ہوں
drink less and sleep more,کم پینا اور زیادہ سونا,کم پینا اور زیادہ سونا
i know what you mean,میں جانتا ہوں تمہارا کیا مطلب ہے,میں جانتا ہوں کہ آپ کا کیا مطلب ہے۔
zain is a hypocrite,زین منافق ہے,زین منافق ہے
zain is the new boss,زین نیا باس ہے,زین نیا باس ہے۔
i bought an old lamp,میں نے ایک پرانا چراغ خریدا۔,میں نے ایک پرانی لامپ خریدی۔
he has braces,اس کے پاس منحنی خطوط وحدانی ہے۔,اس کے پاس منحنیاں ہیں
zain stopped reading,زین نے پڑھنا چھوڑ دیا۔,زین نے پڑھنا چھوڑ دیا۔
what should i buy,مجھے کیا خریدنا چاہئے,مجھے کیا خریدنا چاہیے؟
i have been in paris,میں پیرس میں رہا ہوں,میں پیرس میں گیا ہوں۔
i am peeling apples,میں سیب چھیل رہا ہوں۔,میں سیب پیک کر رہا ہوں۔
i tried to escape,میں نے بھاگنے کی کوشش کی۔,میں نے بھاگنے کی کوشش کی۔
we really have to go,ہم واقعی جانا ہے,ہمیں واقعی جانا ہے
were hiding,چھپے ہوئے تھے,چھپے تھے
how about a rematch,دوبارہ میچ کے بارے میں کیا خیال ہے,ایک میچ کے بارے میں کیا خیال ہے؟
he likes it very much,وہ اسے بہت پسند کرتا ہے,وہ اسے بہت پسند کرتا ہے
zain likes spaghetti,زین کو سپتیٹی پسند ہے۔,زین کو سپتیٹی پسند ہے۔
i will call you a cab,میں آپ کو ٹیکسی بلاؤں گا۔,میں آپ کو ٹیکسی بلاؤں گا۔
do you like boston,کیا آپ کو بوسٹن پسند ہے؟,کیا آپ کو بوسٹن پسند ہے؟
the fridge is empty,فریج خالی ہے,فریج خالی ہے
i am speaking,میں بول رہا ہوں,میں بول رہا ہوں
i am still sleepy,میں اب بھی سو رہا ہوں۔,مجھے ابھی تک نیند آ رہی ہے۔
i am not incompetent,میں نااہل نہیں ہوں,میں نااہل نہیں ہوں۔
we count on you,ہم آپ پر بھروسہ کرتے ہیں,ہم آپ پر اعتماد کرتے ہیں
this fruit has a bad taste,اس پھل کا ذائقہ خراب ہے۔,اس پھل کا ذائقہ خراب ہے۔
you should know that,آپ کو یہ معلوم ہونا چاہئے,آپ کو یہ معلوم ہونا چاہئے
do you want to resign,کیا آپ استعفی دینا چاہتے ہیں؟,کیا آپ استعفیٰ دےنا چاہتے ہیں؟
zain needs our advice,زین کو ہمارے مشورے کی ضرورت ہے,زین کو ہمارے مشورہ کی ضرورت ہے۔
i was the only woman,میں اکیلی عورت تھی۔,میں اکلوتا عورت تھی۔
i know what we can do,میں جانتا ہوں کہ ہم کیا کر سکتے ہیں۔,میں جانتا ہوں کہ ہم کیا کر سکتے ہیں
zain is a womanizer,زین ایک عورت ساز ہے۔,زین ایک عورت پرست ہے۔
dont peek,جھانکنا نہیں,جھانکنا نہیں
were still looking,ابھی تک دیکھ رہے تھے,اب بھی تلاش کر رہے تھے
we have enough food,ہمارے پاس کافی کھانا ہے,ہمارے پاس کافی خوراک ہے۔
do you have two books,کیا آپ کے پاس دو کتابیں ہیں,کیا آپ کے پاس دو کتابیں ہیں؟
she was depressed,وہ افسردہ تھی,وہ اداس تھی
sorry about the mess,گڑبڑ کے بارے میں معذرت,گندگی کے بارے میں معذرت
i want to come,میں آنا چاہتا ہوں,میں آنا چاہتا ہوں
do you have bud light,کیا آپ کے پاس بڈ لائٹ ہے؟,کیا آپ کے پاس بوٹا سا روشنی ہے
shes going to ooita,وہ اویٹا جا رہی ہے,وہ eversia جا رہی ہے۔
he visited a friend,انہوں نے اپنے ایک دوست سے ملاقات کی,اس نے ایک دوست کی ملاقات کی
is my answer correct,کیا میرا جواب درست ہے؟,میرا جواب درست ہے؟
weve got a visitor,ہمارے پاس ایک وزیٹر ہے,ہمیں ایک مہمان ہے
i will see you around,میں آپ کو آس پاس دیکھوں گا۔,میں آپ کو ارد گرد دیکھوں گا
he is not my boyfriend,وہ میرا بوائے فرینڈ نہیں ہے۔,وہ میرا بوائے فرینڈ نہیں ہے۔
i have to call tom,میں ٹام کو فون کرنے کے لئے ہے,مجھے ٹام کو فون کرنا ہے۔
the spoon is dirty,چمچ گندا ہے,چمچ گندا ہے
i am going fishing,میں مچھلی پکڑنے جا رہا ہوں۔,میں مچھلی پکڑنے جا رہا ہوں۔
they will negotiate,وہ مذاکرات کریں گے,وہ مذاکرات کریں گے
i had to accept it,مجھے اسے قبول کرنا پڑا,مجھے اسے قبول کرنا پڑا
he climbed the stairs,وہ سیڑھیاں چڑھ گیا۔,وہ سیڑھیاں چڑھ گیا
i look forward to it,میں اس کا منتظر ہوں۔,میں اس کا منتظر ہوں۔
he did the opposite,اس نے الٹا کیا۔,اس نے الٹا کیا۔
i like rice,مجھے چاول پسند ہیں,مجھے چاول پسند ہے
zain had a son,زین کا ایک بیٹا تھا۔,زین کا ایک بیٹا تھا۔
why did you ask,آپ نے,آپ نے پوچھا
may i try it,میں اسے آزماسکتا ہوں,کیا میں اسے آزما سکتا ہوں۔
is that gun loaded,کیا وہ بندوق بھری ہوئی ہے؟,کیا وہ بندوق لوڈ ہے؟
dont play with fire,آگ سے مت کھیلو,آگ سے مت کھیلو
i am wounded,میں زخمی ہوں,میں زخمی ہوں
this is so boring,یہ بہت بورنگ ہے,یہ بہت بورنگ ہے
we agree as well,ہم بھی متفق ہیں,ہم بھی متفق ہیں۔
would you like coffee or tea with your dessert,کیا آپ اپنی میٹھی کے ساتھ کافی یا چائے پسند کریں گے؟,کیا آپ اپنے میٹھے کے ساتھ کافی یا چائے پسند کریں گے؟
she does not study german on monday,وہ پیر کو جرمن زبان کی تعلیم حاصل نہیں کرتی,وہ سوموار کو جرمن نہیں پڑھتی
its on me,یہ مجھ پر ہے,یہ مجھ پر ہے
i cant go with you,میں آپ کے ساتھ نہیں جا سکتا,میں آپ کے ساتھ نہیں جا سکتا
she woke him up,اس نے اسے جگایا,اس نے اسے جگایا
the horse is jumping,گھوڑا کود رہا ہے,گھوڑا چھلانگ لگا رہا ہے
do you still love me,کیا آپ اب بھی مجھے اردو سے پیار کرتے ہو؟,کیا آپ اب بھی مجھ سے محبت کرتے ہیں
zain has a big family,زین کا بڑا خاندان ہے۔,زین کا ایک بڑا خاندان ہے
they cant afford it,وہ اسے برداشت نہیں کر سکتے,وہ اسے برداشت نہیں کر سکتے
i am taking the book,میں کتاب لے رہا ہوں۔,میں کتاب لے رہا ہوں۔
did you like it,کیا آپ کو پسند آیا,کیا آپ کو پسند آیا
its cloudy today,آج ابر آلود ہے۔,آج اس کی ابر آلود
how do you feel about,آپ کو اس کے بارے میں کیسا محسوس ہوتا ہے؟,آپ کے بارے میں کیسے محسوس کرتے ہیں
were all related,تمام متعلقہ تھے,سب تعلق دار تھے
i am hungry,مجھے بہت بھول لگی ہا,مجھے بھوک لگی
be quiet all of you,تم سب خاموش رہو,تم سب خاموش رہو
i remember tom,مجھے ٹام یاد ہے۔,مجھے ٹام یاد ہے۔
i cant help myself,میں اپنی مدد نہیں کر سکتا,میں خود کی مدد نہیں کر سکتا
i will take care of it,میں اس کا خیال رکھوں گا,میں اس کا خیال رکھوں گا۔
there are still a lot of things to do,ابھی بہت سارے کام رہتے ہیں۔,اب بھی بہت سی چیزوں کو کرنا ہے
the oranges cost 7 pence each,ہر مسمی کی قیمت ۷ پینس ہے۔,سنترے کی قیمت ہر ایک سات سنترے ہے۔
he had a narrow escape,اس کے پاس فرار ہونے کا ایک چھوٹا راستہ تھا۔,اس کی تنگ فرار ہوئی
zains scared,زین خوفزدہ,زین خوفزدہ
this dog is shaggy,یہ کتا شگفتہ ہے۔,یہ کتا شاگی ہے
zain refused,زین نے انکار کر دیا,زین نے انکار کر دیا
do you have a lighter,کیا آپ کے پاس لائٹر ہے؟,کیا آپ کے پاس ہلکے ہوئے ہے؟
cattle feed on grass,مویشی گھاس پر کھانا کھاتے ہیں,ttle cattle feed on grass
it is pitch dark,یہ اندھیرا ہے,یہ اندھیرا ہے
he hit the bullseye,اس نے بلس آئی کو مارا,اس نے بلسی کو مارا۔
thank you for the advice,مشورے کے لئے آپ کا شکریہ,مشورہ کے لئے آپ کا شکریہ
that will pass,یہ گزر جائے گا,وہ گزر جائے گا
my tooth hurts,میرے دانت میں درد ہے,میرے دانت میں درد ہے
she can speak french,وہ فرانسیسی بول سکتی ہے۔,وہ فرانسیسی بول سکتی ہے۔
we heard a gunshot,ہم نے گولی چلنے کی آواز سنی,ہم نے گولی چلنے کی آواز سنی
he behaved very rudely,اس نے بہت بدتمیزی کا برتاؤ کیا,اس نے بہت بدتمیز سلوک کیا
its a big company,یہ ایک بڑی کمپنی ہے,یہ ایک بڑی کمپنی ہے
were in trouble,مصیبت میں تھے,مصیبت میں تھے
i have to go back,مجھے واپس جانا ہے,مجھے واپس جانا ہے
i am getting nervous,میں گھبرا رہا ہوں,میں گھبرا رہا ہوں
how about you,آپ کیا بنا رہے ہیں؟,آپ کے بارے میں کیا ہوگا
i am off duty today,میں آج ڈیوٹی سے دور ہوں۔,میں آج ڈیوٹی سے دور ہوں۔
i am glad to be here,مجھے یہاں آکر خوشی ہوئی ہے,مجھے یہاں ہونے میں خوشی ہے
thats better,یہ بہتر ہے,یہ بہتر ہے
i cant tell yet,میں ابھی تک نہیں بتا سکتا,میں ابھی تک نہیں بتا سکتا
why isnt zain asleep,زین کیوں نہیں سو رہا ہے,زین کیوں سو نہیں رہا
zain shut his eyes,زین نے آنکھیں بند کر لیں۔,زین آنکھیں بند کرو
i am flabbergasted,میں حیران ہوں,میں حیران رہ گیا ہوں
did you say yes or no,آپ نے ہاں کہا یا نہیں؟,کیا آپ نے ہاں یا نہیں کہا؟
weve run out of gas,ہمارے پاس گیس ختم ہو گئی ہے۔,گیس ختم ہو گیا
where is my plate,میری پلیٹ کہاں ہے؟,میری پلیٹ کہاں ہے؟
i got wet to the skin,میں جلد پر گیلا ہو گیا۔,میں جلد سے گیلا ہو گیا
zain might come,زین آ سکتا ہے۔,زین آ سکتا ہے
what did you miss,تم نے کیا یاد کیا,آپ کو کیا یاد کیا
did you tell zain that,کیا تم نے زین کو بتایا؟,کیا آپ نے زین کو بتایا
i miss my parents,میں اپنے والدین کو یاد کرتا ہوں۔,مجھے اپنے والدین یاد آتی ہیں۔
zain will protect you,زین تمہاری حفاظت کرے گا۔,زین آپ کی حفاظت کرے گا۔
i think he is right,مجھے لگتا ہے کہ وہ صحیح ہے,مجھے لگتا ہے کہ وہ صحیح ہے
i love rock,میں راک سے محبت کرتا ہوں,مجھے چٹان پسند ہیں
what will you make,آپ کیا بنائیں گے,آپ کیا بنائیں گے
i wanted more,میں مزید چاہتا تھا,میں مزید چاہتا تھا
that was your choice,یہ آپ کی پسند تھی,یہ آپ کا انتخاب تھا
what is your problem,تمہارا مسئلہ کیا ہے,آپ کا مسئلہ کیا ہے
its hard to say,یہ کہنا مشکل ہے,یہ کہنا مشکل ہے
go to the hospital,ہسپتال جاؤ,ہسپتال جاؤ
i am just beginning,میں ابھی شروعات کر رہا ہوں۔,میں صرف شروع کر رہا ہوں
dont worry about us,ہمارے بارے میں فکر نہ کریں,ہمارے بارے میں فکر نہ کریں
stop making so much noise,اتنا شور مچانا بند کرو,اتنی شور مچانا بند کریں
is zain sick,زین بیمار ہے,زین بیمار ہے
he has a good accent,اس کا لہجہ اچھا ہے۔,اس کا لہجہ اچھا ہے
are you still angry,کیا آپ اب بھی ناراض ہیں,کیا آپ اب بھی ناراض ہیں
i did that on purpose,میں نے یہ جان بوجھ کر کیا۔,میں نے جان بوجھ کر کیا
whos talking,کون بات کر رہا ہے,کون بول رہا ہے
they cant stop you,وہ آپ کو روک نہیں سکتے,وہ آپ کو روک نہیں سکتے
i dont want that,میں یہ نہیں چاہتا,میں یہ نہیں چاہتا
you sure are pretty,آپ یقینا خوبصورت ہیں,آپ یقینا خوبصورت ہیں
it will soon be spring,یہ جلد ہی موسم بہار ہو جائے گا,یہ جلد ہی موسم بہار ہو جائے گا
zain passed away,زین کا انتقال ہو گیا,زین مر گیا
i will shoot him,میں اسے گولی مار دوں گا۔,میں اسے گولی مار دوں گا۔
did zain have dinner,کیا زین نے رات کا کھانا کھایا؟,زین نے رات کا کھانا کھایا؟
start here,یہاں سے شروع کریں۔,یہاں شروع کریں
isnt zain handsome,زین خوبصورت نہیں ہے؟,زین خوبصورت نہیں ہے
i am in a hurry,میں جلدی میں ہوں,میں جلدی میں ہوں
no one is perfect,کوئی بھی کامل نہیں ہے,کوئی بھی کامل نہیں ہے
rest assured,یقین دہانی کرائی,rest assured
i want more than that,میں اس سے زیادہ چاہتا ہوں,میں اس سے زیادہ چاہتا ہوں۔
wheres my beer,میری بیئر کہاں ہے,میری بیئر کہاں ہے
she sings well,وہ اچھا گاتی ہے,وہ اچھی طرح گاتی ہے
i weigh pounds,میرا وزن پاؤنڈ ہے,میں نے پاؤنڈ وزن رکھیں
my watch is out of order,میری گھڑی ترتیب سے باہر ہے,میری گھڑی بند ہو گئی ہے۔
zain cant be saved,زین کو بچایا نہیں جا سکتا,زین محفوظ نہیں کیا جا سکتا
i dont know him,میں اسے نہیں جانتا,میں اسے نہیں جانتا
was that your plan,یہ آپ کا منصوبہ تھا؟,کیا یہ آپ کا منصوبہ تھا
i like your article,مجھے آپ کا مضمون پسند ہے۔,مجھے آپ کا مضمون پسند ہے۔
i have seen enough,میں نے کافی دیکھا ہے۔,میں نے کافی دیکھا ہے۔
we chartered a bus,ہم نے ایک بس چارٹر کی,ہم نے ایک بس چارٹ کیا
i have a lot of land,میرے پاس بہت ساری زمین ہے,میرے پاس بہت ساری زمین ہے۔
zain is a farm worker,زین ایک فارم ورکر ہے۔,زین ایک فارم کارکن ہے
utilities are extra,افادیت اضافی ہیں,مفیدیاں اضافی ہیں
happy easter,ایسٹر مبارک ہو!,مجھے happy Easter ہو
you need to focus on what is in front of you,آپ کو اس پر توجہ مرکوز کرنے کی ضرورت ہے جو آپ کے سامنے ہے۔,آپ کو اپنے سامنے کیا ہے پر توجہ مرکوز کرنے کی ضرورت ہے
you must be joking,آپ مذاق کر رہے ہو,آپ مذاق کر رہے ہیں
zain chuckled,زین ہنس نے,زین ہنس نے لگا
i make the rules,میں اصول بناتا ہوں۔,میں قوانین بناتا ہوں۔
the meat is tough,گوشت سخت ہے,گوشت مشکل ہے
we enjoy watching tv,ہم ٹی وی دیکھنے سے لطف اندوز ہوتے ہیں,ہم ٹی وی دیکھنے سے لطف اندوز ہوتے ہیں۔
its almost october,اس کی تقریبا اکتوبر,اس کا تقریبا اکتوبر
you have a brain,آپ کے پاس دماغ ہے,آپ کا دماغ ہے
i am not good,میں اچھا نہیں ہوں,میں اچھا نہیں ہوں
i got an a,میں نے ایک مل گیا,مجھے ایک ملا
it’s ok,ٹھیک ہے,ٹھیک ہے
i do think so,مجھے ایسا لگتا ہے۔,مجھے لگتا ہے
i really hope so,مجھے واقعی امید ہے۔,مجھے واقعی امید ہے
hi zain come on in,ہیلو زین اندر چلو,ہیلو زین اندر آؤ
zain looks older,زین بوڑھا لگتا ہے۔,زین بڑا لگ رہا ہے
i can play soccer,میں فٹ بال کھیل سکتا ہوں,میں فٹ بال کھیل سکتا ہوں
she is only a child,وہ صرف ایک بچہ ہے,وہ صرف ایک بچہ ہے
do you trust her,کیا آپ اس پر بھروسہ کرتے ہیں,کیا آپ اس پر بھروسہ کرتے ہیں
zain was an orphan,زین ایک یتیم تھا۔,زین یتیم تھا
turn it off please,براہ مہربانی اسے بند کریں,براہ مہربانی اسے بند کر دیں
zain doesnt know me,زین مجھے نہیں جانتا,زین مجھے نہیں جانتا
zain ran for mayor,زین نے میئر کا انتخاب لڑا,زین میئر کے لئے بھاگا
are you sick,کیا تم بیمار ہو,کیا آپ بیمار ہیں؟
ready get set go,تیار ہو جاؤ جاؤ,تیار ہو جاؤ سیٹ کرو
i arrived too early,میں بہت جلد پہنچا,میں بہت جلد پہنچ گیا
this is not normal,یہ عام نہیں ہے,یہ عام نہیں ہے
zain wont sing,زین نہیں گاتا,زین نہیں گاتا
i didnt look at it,میں نے اسے نہیں دیکھا,میں نے اس کی طرف نہیں دیکھا
you are bluffing,آپ بڑبڑا رہے ہیں۔,آپ بلف کر رہے ہیں
i missed you,میں نے آپ کو یاد کیا,میں نے آپ کو یاد کیا
lets have breakfast,چلو ناشتہ کرتے ہیں,ناشتہ کرنے دیں
i am exaggerating,میں مبالغہ آرائی کر رہا ہوں۔,میں مبالغہ آرائی کر رہا ہوں۔
you have made him angry,تم نے اسے غصہ دلایا ہے,تم نے اسے ناراض کر دیا ہے
who yelled,جس نے چیخا,جس نے چلایا
how did the traffic accident happen,ٹریفک حادثہ کیسے پیش آیا؟,ٹریفک حادثہ کیسے ہوا
is she your mother,کیا وہ تمہاری ماں ہے,کیا وہ آپ کی ماں ہے
i am not a child,میں بچہ نہیں ہوں۔,میں بچہ نہیں ہوں۔
doesn’t matter,کوئی فرق نہیں پڑتا!,کوئی فرق نہیں پڑتا!
they stopped talking,انہوں نے بات کرنا بند کر دیا,انہوں نے بات کرنا چھوڑ دیا
i accept your apology,میں آپ کی معذرت قبول کرتا ہوں۔,میں آپ کی معافی قبول کرتا ہوں۔
is zain still awake,زین ابھی جاگ رہا ہے,زین ابھی جاگ رہا ہے
thats a fish,یہ ایک مچھلی ہے,یہ ایک مچھلی ہے
my father stands near the window,میرے والد کھڑکی کے قریب کھڑے ہیں,میرے والد کھڑکی کے قریب کھڑے ہیں۔
zain remained behind,زین پیچھے رہ گیا۔,زین پیچھے رہ گیا
i took a shower,میں نے غسل کیا,میں نے شاور لی
would you like to see our dessert menu,کیا آپ ہمارا میٹھا مینو دیکھنا چاہیں گے,کیا آپ ہماری ڈیزرٹ مینو دیکھنا چاہیں گے؟
wash your hands well,اپنے ہاتھ دھوئیں,اپنے ہاتھ اچھی طرح دھوئیں
i am eating rice now,میں اب چاول کھا رہا ہوں,میں اب چاول کھا رہا ہوں۔
are you freaking out,کیا تم گھبرا رہے ہو؟,کیا تم گھبرا رہے ہو؟
as you wish,جیسے آپ کی مرضی,جیسا تم چاہو
its just over there,یہ وہاں پر ہے,یہ صرف وہاں ہے
i always take notes,میں ہمیشہ نوٹ لیتا ہوں,میں ہمیشہ نوٹ لیتا ہوں۔
do you have one,کیا آپ کے پاس ایک ہے,کیا آپ کے پاس ایک ہے
lets shake on it,اس پر ہلنے دیتا ہے,اس پر ہلنے دو
zain accelerated,زین نے تیز کیا,زین تیز
zain didnt stay long,زین زیادہ دیر نہیں ٹھہرا۔,زین زیادہ دیر نہیں رہا۔
i know the truth,میں سچ جانتا ہوں,میں سچ جانتا ہوں۔
i seldom speak to him,میں اس سے شاذ و نادر ہی بات کرتا ہوں۔,میں اس سے شاذ و نادر ہی بات کرتا ہوں۔
who is that guy,وہ لڑکا کون ہے؟,وہ آدمی کون ہے؟
i am a boy,میں ایک لڑکا ہوں,میں ایک لڑکا ہوں
believe me,ايقين جانين,مجھ پر یقین کرو
i missed you so much,میں نے آپ کو بہت یاد کیا,میں نے آپ کو بہت یاد کیا
i left it unlocked,میں نے اسے کھلا چھوڑ دیا۔,میں نے اسے کھلا چھوڑ دیا۔
read it once more,اسے ایک بار پھر پڑھیں,اسے ایک بار پھر پڑھیں
love doesnt exist,محبت موجود نہیں ہے,محبت موجود نہیں ہے
say something,کچھ کہیں,کچھ کہنا
zain liked the idea,زین کو آئیڈیا پسند آیا,زین کو خیال پسند آیا
don’t be so childish,اتنا بچگانہ نہ بنیں,اتنا بچکانہ نہ بنیں
thats free,یہ مفت ہے,یہ مفت ہے
this clock is broken,یہ گھڑی ٹوٹ گئی ہے,یہ گھڑی ٹوٹ گئی ہے
did zain surrender,زین نے ہتھیار ڈال دیے۔,زین نے ہتھیار ڈال دیئے۔
thats too much,یہ بہت زیادہ ہے,یہ بہت زیادہ ہے
you may rely on him,آپ اس پر بھروسہ کر سکتے ہیں۔,آپ اس پر بھروسہ کر سکتے ہیں۔
put your hands up,اپنے ہاتھ اوپر اٹھاؤ,اپنے ہاتھ اوپر اٹھاؤ
he isnt perfect,وہ کامل نہیں ہے,وہ کامل نہیں ہے
i didnt do anything,میں نے کچھ نہیں کیا۔,میں نے کچھ نہیں کیا
seeing is believing,دیکھنا ایمان لانا ہے,دیکھنا یقین ہے
i am not a canadian,میں کینیڈین نہیں ہوں,میں کینیڈین نہیں ہوں۔
wow thats great,واہ بہت اچھا ہے,واہ اچھا ہے
is that a crime,کیا یہ جرم ہے؟,کیا یہ جرم ہے؟
he himself tried it,اس نے خود اس کی کوشش کی,اس نے خود کوشش کی
please relax,براہ مہربانی آرام کرو,براہ مہربانی آرام کریں
i am a communist,میں کمیونسٹ ہوں۔,میں ایک کمونسٹ ہوں۔
i am hungry now,میں اب بھوکا ہوں,مجھے اب بھوک لگی ہے
zain will be there,زین وہاں ہوگا,زین وہاں ہو جائے گا
she trusted me,اس نے مجھ پر بھروسہ کیا,اس نے مجھ پر بھروسہ کیا
he blocked my way,اس نے میرا راستہ روک دیا,اس نے میرا راستہ بند کر دیا
zain fed the chickens,زین نے مرغیوں کو کھلایا,زین نے مرغوں کو کھلایا
i’d like to go for a walk,میں سیر کے لیے جانا چاہتا ہوں۔,میں سیر کے لئے جانا چاہتے ہیں
we sat in the front,ہم سامنے بیٹھ گئے,ہم سامنے بیٹھ گئے۔
could i have the bill please,کیا میں بل لے سکتا ہوں براہ مہربانی,کیا میں بل حاصل کر سکتا ہوں براہ مہربانی
the dog is theirs,کتا ان کا ہے۔,کتا ان کا ہے
i shouldve done that,مجھے یہ کرنا چاہیے تھا۔,مجھے ایسا کرنا چاہئے تھا
come quickly,جلدی سے آنا,جلدی سے آنا
